Type,ID,Color,940,1050,1200,1300,1450,1550,1650,1720
spectralon,,white,0.2247,0.1093,0.188,0.2193,0.2317,0.2049,0.3018,0.0465
spectralon,,white,0.2251,0.1095,0.1878,0.2192,0.2314,0.2046,0.3015,0.0464
spectralon,,white,0.2251,0.1095,0.1878,0.2192,0.2315,0.2046,0.3014,0.0464
spectralon,,white,0.225,0.1094,0.1878,0.2193,0.2314,0.2046,0.3014,0.0465
spectralon,,white,0.2251,0.1094,0.188,0.2193,0.2315,0.2046,0.3014,0.0464
dark,,,0.0087,0.0066,0.0071,0.0121,0.0117,0.011,0.016,0.004
dark,,,0.0084,0.0065,0.0069,0.012,0.0116,0.0109,0.0156,0.004
PP,2,white,0.1772,0.0787,0.1084,0.1292,0.1093,0.0956,0.1363,0.021
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1093,0.0957,0.1363,0.0211
PP,2,white,0.1771,0.0787,0.1084,0.1292,0.1092,0.0956,0.1363,0.0211
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1093,0.0957,0.1363,0.0211
PP,2,white,0.1772,0.0788,0.1085,0.1293,0.1094,0.0956,0.1363,0.0211
PP,10,white,0.171,0.0799,0.111,0.136,0.1212,0.108,0.1523,0.0228
PP,10,white,0.1709,0.0798,0.111,0.136,0.1212,0.108,0.1522,0.0228
PP,10,white,0.171,0.0799,0.111,0.1361,0.1212,0.1079,0.1522,0.0228
PP,10,white,0.171,0.0799,0.1111,0.1361,0.1212,0.1081,0.1522,0.0228
PP,10,white,0.171,0.0799,0.1111,0.1361,0.1212,0.108,0.1523,0.0228
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0777,0.097,0.0129
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0778,0.097,0.0129
PP,11,purple,0.1083,0.0481,0.0598,0.0869,0.0894,0.0777,0.097,0.0129
PP,11,purple,0.1083,0.048,0.0598,0.0869,0.0894,0.0778,0.0969,0.0129
PP,11,purple,0.1082,0.048,0.0598,0.0869,0.0894,0.0777,0.0969,0.0129
PP,12,white,0.1283,0.0592,0.0816,0.0944,0.079,0.0675,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0675,0.096,0.0146
PP,12,white,0.1285,0.0593,0.0817,0.0944,0.079,0.0676,0.0959,0.0146
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0417,0.0529,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0418,0.0528,0.0076
PP,20,purple,0.0306,0.0239,0.0332,0.0434,0.0445,0.0417,0.0528,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0417,0.0528,0.0077
PP,20,purple,0.0306,0.0239,0.0331,0.0434,0.0445,0.0416,0.0528,0.0076
PP,23,white,0.1821,0.0823,0.1105,0.153,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0823,0.1105,0.1531,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0823,0.1105,0.1531,0.1398,0.129,0.1849,0.027
PP,23,white,0.1821,0.0822,0.1105,0.1531,0.1398,0.129,0.1848,0.027
PP,23,white,0.182,0.0823,0.1106,0.153,0.1398,0.129,0.1848,0.027
PP,25,white,0.1564,0.0761,0.1087,0.1365,0.1443,0.1315,0.1867,0.0245
PP,25,white,0.1563,0.0761,0.1087,0.1365,0.1442,0.1314,0.1866,0.0245
PP,25,white,0.1563,0.0762,0.1087,0.1366,0.1443,0.1315,0.1867,0.0246
PP,25,white,0.1563,0.0761,0.1087,0.1365,0.1443,0.1315,0.1867,0.0245
PP,25,white,0.1562,0.0761,0.1087,0.1366,0.1443,0.1314,0.1866,0.0246
PP,30,white,0.1228,0.0565,0.0784,0.0902,0.0771,0.0644,0.0886,0.0137
PP,30,white,0.1227,0.0564,0.0784,0.0901,0.0771,0.0643,0.0885,0.0137
PP,30,white,0.1227,0.0564,0.0784,0.0901,0.0771,0.0643,0.0885,0.0136
PP,30,white,0.1227,0.0565,0.0784,0.0902,0.0772,0.0644,0.0885,0.0137
PP,30,white,0.1227,0.0564,0.0784,0.0902,0.0771,0.0644,0.0885,0.0137
PP,32,white,0.1425,0.0738,0.1282,0.1483,0.1458,0.1292,0.1825,0.0254
PP,32,white,0.1425,0.0738,0.1282,0.1483,0.1458,0.1292,0.1825,0.0254
PP,32,white,0.1425,0.0738,0.1282,0.1484,0.1459,0.1292,0.1825,0.0254
PP,32,white,0.1424,0.0738,0.1282,0.1483,0.1459,0.1293,0.1825,0.0254
PP,32,white,0.1424,0.0738,0.1282,0.1484,0.1459,0.1292,0.1824,0.0255
PP,33,,0.1447,0.0673,0.0895,0.1084,0.0826,0.0707,0.1058,0.016
PP,33,,0.1447,0.0673,0.0894,0.1084,0.0826,0.0707,0.1058,0.0159
PP,33,,0.1447,0.0673,0.0895,0.1085,0.0826,0.0707,0.1057,0.016
PP,33,,0.1445,0.0673,0.0895,0.1084,0.0826,0.0707,0.1057,0.016
PP,33,,0.1447,0.0673,0.0895,0.1085,0.0827,0.0707,0.1058,0.016
PP,39,transparent,0.0396,0.0211,0.0336,0.0401,0.0417,0.0316,0.045,0.0073
PP,39,transparent,0.0396,0.0212,0.0336,0.0402,0.0418,0.0316,0.045,0.0073
PP,39,transparent,0.0397,0.0213,0.0337,0.0402,0.0418,0.0316,0.045,0.0073
PP,39,transparent,0.0397,0.0213,0.0337,0.0402,0.0418,0.0316,0.0451,0.0074
PP,39,transparent,0.0396,0.0213,0.0337,0.0402,0.0418,0.0316,0.045,0.0072
PP,42,white,0.1866,0.086,0.1291,0.1549,0.1413,0.126,0.1782,0.0264
PP,42,white,0.1867,0.086,0.1291,0.155,0.1413,0.126,0.1782,0.0264
PP,42,white,0.1867,0.086,0.1291,0.1549,0.1413,0.126,0.1781,0.0264
PP,42,white,0.1867,0.086,0.1291,0.155,0.1413,0.126,0.1781,0.0264
PP,42,white,0.1866,0.086,0.1291,0.155,0.1413,0.126,0.1781,0.0264
PP,48,white,0.186,0.0863,0.1127,0.1376,0.1218,0.1124,0.1614,0.0234
PP,48,white,0.186,0.0863,0.1127,0.1376,0.1218,0.1124,0.1614,0.0233
PP,48,white,0.186,0.0864,0.1127,0.1376,0.1219,0.1124,0.1614,0.0234
PP,48,white,0.1859,0.0863,0.1127,0.1376,0.1218,0.1124,0.1613,0.0233
PP,48,white,0.1859,0.0863,0.1127,0.1376,0.1218,0.1124,0.1614,0.0234
PP,49,white,0.0187,0.0127,0.0123,0.0189,0.021,0.02,0.0456,0.0075
PP,49,white,0.0187,0.0127,0.0123,0.0189,0.0211,0.02,0.0456,0.0075
PP,49,white,0.0187,0.0128,0.0124,0.019,0.0211,0.02,0.0456,0.0075
PP,49,white,0.0187,0.0127,0.0124,0.0189,0.0211,0.02,0.0456,0.0075
PP,49,white,0.0188,0.0127,0.0124,0.019,0.0211,0.02,0.0456,0.0075
PP,49,white,0.2011,0.0959,0.1402,0.1748,0.162,0.1499,0.2139,0.031
PP,49,white,0.201,0.0959,0.1402,0.1749,0.162,0.1498,0.2138,0.0312
PP,49,white,0.2011,0.0959,0.1403,0.1748,0.162,0.1498,0.2138,0.0311
PP,49,white,0.201,0.0959,0.1403,0.1749,0.162,0.1498,0.2138,0.0311
PP,49,white,0.201,0.0959,0.1403,0.1749,0.162,0.1499,0.2139,0.0312
PP,50,white,0.1685,0.0755,0.1039,0.1228,0.1186,0.1024,0.1461,0.0218
PP,50,white,0.1684,0.0756,0.104,0.1229,0.1187,0.1024,0.1462,0.0219
PP,50,white,0.1684,0.0756,0.1039,0.1229,0.1187,0.1024,0.1461,0.0218
PP,50,white,0.1684,0.0756,0.104,0.1229,0.1187,0.1024,0.1461,0.0219
PP,50,white,0.1684,0.0756,0.104,0.1229,0.1186,0.1025,0.1461,0.0218
PP,51,white,0.1317,0.0618,0.0854,0.1092,0.101,0.0886,0.1214,0.0175
PP,51,white,0.1315,0.0618,0.0855,0.1093,0.1008,0.0886,0.1213,0.0176
PP,51,white,0.1317,0.0619,0.0855,0.1093,0.1009,0.0886,0.1213,0.0176
PP,51,white,0.1316,0.0618,0.0855,0.1093,0.1009,0.0886,0.1213,0.0176
PP,51,white,0.1316,0.0618,0.0855,0.1093,0.1009,0.0886,0.1214,0.0176
PP,53,white,0.1731,0.0833,0.1154,0.1366,0.1181,0.108,0.1492,0.0234
PP,53,white,0.173,0.0832,0.1154,0.1366,0.1181,0.108,0.1491,0.0234
PP,53,white,0.173,0.0832,0.1154,0.1366,0.1181,0.1079,0.1491,0.0234
PP,53,white,0.173,0.0833,0.1154,0.1366,0.1181,0.108,0.1491,0.0235
PP,53,white,0.173,0.0832,0.1154,0.1366,0.1181,0.108,0.1491,0.0234
PP,54,,0.1769,0.0823,0.1178,0.143,0.1304,0.1154,0.1598,0.024
PP,54,,0.1769,0.0824,0.1178,0.143,0.1304,0.1154,0.1599,0.024
PP,54,,0.1768,0.0823,0.1178,0.143,0.1304,0.1154,0.1599,0.024
PP,54,,0.1769,0.0824,0.1179,0.143,0.1305,0.1154,0.1599,0.024
PP,54,,0.1769,0.0824,0.1179,0.1431,0.1305,0.1154,0.1599,0.024
PP,55,white,0.144,0.0691,0.0998,0.127,0.1176,0.1003,0.1317,0.0186
PP,55,white,0.144,0.0692,0.0998,0.127,0.1177,0.1003,0.1317,0.0186
PP,55,white,0.1439,0.0692,0.0998,0.1271,0.1177,0.1003,0.1317,0.0186
PP,55,white,0.144,0.0692,0.0999,0.1271,0.1177,0.1003,0.1317,0.0187
PP,55,white,0.144,0.0692,0.0999,0.1271,0.1177,0.1003,0.1317,0.0186
PP,99,blue,0.1061,0.0483,0.0529,0.0697,0.0545,0.0494,0.0673,0.0107
PP,99,blue,0.1061,0.0483,0.0529,0.0697,0.0545,0.0494,0.0673,0.0107
PP,99,blue,0.106,0.0483,0.0528,0.0697,0.0545,0.0494,0.0673,0.0107
PP,99,blue,0.106,0.0483,0.0528,0.0697,0.0545,0.0494,0.0673,0.0107
PP,99,blue,0.106,0.0483,0.0529,0.0697,0.0545,0.0495,0.0673,0.0107
PET,105,transparent,0.0912,0.0201,0.0222,0.0571,0.058,0.0723,0.0382,0.007
PET,105,transparent,0.0912,0.0201,0.0221,0.0571,0.058,0.0723,0.0383,0.007
PET,105,transparent,0.0913,0.0201,0.0221,0.0571,0.058,0.0723,0.0382,0.007
PET,105,transparent,0.0914,0.0201,0.0221,0.0571,0.058,0.0724,0.0383,0.007
PET,105,transparent,0.0914,0.0202,0.0222,0.0572,0.0581,0.0724,0.0383,0.007
PET,106,red transparent,0.0264,0.0167,0.0348,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0264,0.0167,0.0348,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0066
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0067
PET,106,red transparent,0.0263,0.0167,0.0347,0.0504,0.0552,0.0557,0.0591,0.0066
PET,107,transparent,0.0196,0.0148,0.0246,0.0326,0.0276,0.0231,0.0368,0.0063
PET,107,transparent,0.0195,0.0148,0.0244,0.0326,0.0276,0.0231,0.0369,0.0063
PET,107,transparent,0.0196,0.0148,0.0245,0.0326,0.0276,0.0231,0.0368,0.0063
PET,107,transparent,0.0195,0.0148,0.0245,0.0326,0.0276,0.0231,0.0369,0.0063
PET,107,transparent,0.0195,0.0149,0.0245,0.0326,0.0277,0.0231,0.0368,0.0063
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0839,0.0719,0.081,0.012
PET,109,green,0.1292,0.0558,0.0741,0.1103,0.0838,0.0718,0.081,0.012
PET,109,green,0.1292,0.0558,0.0741,0.1103,0.0839,0.0719,0.081,0.012
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0839,0.0718,0.081,0.012
PET,109,green,0.1293,0.0558,0.0741,0.1103,0.0838,0.0719,0.081,0.012
PET,110,transparent,0.0225,0.0125,0.0141,0.0194,0.0202,0.0181,0.0257,0.0054
PET,110,transparent,0.0225,0.0124,0.0141,0.0195,0.0201,0.0182,0.0257,0.0054
PET,110,transparent,0.0224,0.0124,0.0141,0.0194,0.0202,0.0182,0.0257,0.0054
PET,110,transparent,0.0225,0.0124,0.0141,0.0194,0.0202,0.0181,0.0257,0.0054
PET,110,transparent,0.0224,0.0124,0.014,0.0194,0.0201,0.0181,0.0257,0.0053
PET,119,white,0.1585,0.0735,0.1043,0.1291,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1044,0.1292,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1045,0.1292,0.1095,0.0994,0.1058,0.0169
PET,119,white,0.1585,0.0735,0.1045,0.1292,0.1096,0.0994,0.1058,0.0169
PET,119,white,0.1584,0.0735,0.1044,0.1292,0.1095,0.0994,0.1058,0.0169
PET,129,transparent,0.0127,0.0092,0.0113,0.0189,0.0528,0.0343,0.0591,0.0056
